image,detail_hf_meanabs,noise_sigma_mad,detail_grad_mean,blur_lap_var,edge_density,entropy,H,W
sample/BKH6.jpg,3.997084,2.965200,52.660450,726.525879,0.076610,7.619304,443,665
sample/BKH1.jpg,8.775925,8.895599,95.673347,2479.034180,0.219015,7.640097,720,960
sample/BKA4.jpg,13.207874,10.378200,141.113235,6729.353516,0.211794,7.657583,367,700
